iter	stage	seconds	started
0	holdout_anchor	4332	2026-09-05 22:48:12
1	D2_rl_a0	16527	2026-09-06 00:00:25
1	E_holdout_rl_a0	4068	2026-09-06 04:35:52
1	E_holdout_rl_a0	0	2026-09-06 12:36:17
2	A0_rotate_tasks	1	2026-09-06 12:36:36
2	A_evolve	9437	2026-09-06 12:36:37
2	B_holdout_harness	3705	2026-09-06 15:13:54
2	D2_rl_a0	21901	2026-09-06 16:15:39
2	E_holdout_rl_a0	3312	2026-09-06 22:20:40
3	A0_rotate_tasks	3	2026-09-07 01:41:12
3	D2_rl_a0	17986	2026-09-07 01:41:15
3	E_holdout_rl_a0	3012	2026-09-07 06:41:01
