iter	stage	seconds	started
0	holdout_anchor	11022	2026-09-08 09:21:58
1	A_evolve	11601	2026-09-08 12:25:40
1	B2_sftgen_a0	2277	2026-09-08 15:39:01
1	C_corpus_a0	1	2026-09-08 16:16:58
1	D_sft_a0	519	2026-09-08 16:17:00
1	E_holdout_sft_a0	5866	2026-09-08 16:25:39
2	A0_rotate_tasks	5	2026-09-08 18:03:25
2	A_evolve	18122	2026-09-08 18:03:30
2	B_holdout_harness	5330	2026-09-08 23:05:33
2	B2_sftgen_a0	0	2026-09-09 00:34:24
2	C_corpus_a0	1	2026-09-09 00:34:24
2	D_sft_a0	433	2026-09-09 00:34:25
2	E_holdout_sft_a0	9375	2026-09-09 00:41:38
3	A0_rotate_tasks	5	2026-09-09 03:17:53
3	A_evolve	9148	2026-09-09 03:17:58
3	B_holdout_harness	4669	2026-09-09 05:50:26
3	B2_sftgen_a0	0	2026-09-09 07:08:15
3	C_corpus_a0	1	2026-09-09 07:08:15
3	D_sft_a0	383	2026-09-09 07:08:16
3	E_holdout_sft_a0	5535	2026-09-09 07:14:39
