iter	stage	seconds	started
0	holdout_anchor	5717	2026-08-19 20:56:44
1	A0_evolve_taskset	6	2026-08-19 22:32:01
1	A_evolve	18572	2026-08-19 22:32:07
1	B_holdout_harness	6208	2026-08-20 03:41:39
1	C_corpus_a0	2	2026-08-20 05:25:07
1	D_sft_a0	682	2026-08-20 05:25:09
1	E_holdout_sft_a0	6652	2026-08-20 05:36:31
2	A0_evolve_taskset	9	2026-08-20 07:27:23
2	A_evolve	28936	2026-08-20 07:27:32
2	B_holdout_harness	8065	2026-08-20 15:29:48
2	C_corpus_a0	3	2026-08-20 17:44:13
2	D_sft_a0	1106	2026-08-20 17:44:16
2	E_holdout_sft_a0	6861	2026-08-20 18:02:42
2	A_extra_evolve_a1	6993	2026-08-20 19:57:03
2	C_corpus_a1	4	2026-08-20 21:53:36
2	D_sft_a1	1092	2026-08-20 21:53:41
2	E_holdout_sft_a1	6102	2026-08-20 22:11:53
3	A0_evolve_taskset	7	2026-08-20 23:53:39
3	A_evolve	23637	2026-08-20 23:53:46
3	B_holdout_harness	7210	2026-08-21 06:27:43
3	C_corpus_a0	6	2026-08-21 08:27:54
3	D_sft_a0	1379	2026-08-21 08:28:00
3	E_holdout_sft_a0	6475	2026-08-21 08:50:59
3	A_extra_evolve_a1	6364	2026-08-21 10:38:54
3	C_corpus_a1	4	2026-08-21 12:24:58
3	D_sft_a1	1371	2026-08-21 12:25:02
3	E_holdout_sft_a1	6814	2026-08-21 12:47:53
3	A_extra_evolve_a2	7303	2026-08-21 14:41:27
3	C_corpus_a2	4	2026-08-21 16:43:10
3	D_sft_a2	1402	2026-08-21 16:43:14
3	E_holdout_sft_a2	6374	2026-08-21 17:06:36
