iter	stage	seconds	started
0	holdout_anchor	7970	2026-08-16 01:14:47
1	A_evolve	13029	2026-08-16 08:37:26
1	B_holdout_harness	6170	2026-08-16 12:14:35
1	C_corpus_a0	1	2026-08-16 13:57:25
1	D_sft_a0	641	2026-08-16 13:57:26
1	E_holdout_sft_a0	7282	2026-08-16 14:08:07
2	A_evolve	14791	2026-08-16 16:09:29
2	B_holdout_harness	7508	2026-08-16 20:16:00
2	C_corpus_a0	3	2026-08-16 22:21:08
2	D_sft_a0	804	2026-08-16 22:21:11
2	E_holdout_sft_a0	6612	2026-08-16 22:34:35
2	A_extra_evolve_a1	5860	2026-08-17 00:24:47
2	C_corpus_a1	4	2026-08-17 02:02:27
2	D_sft_a1	812	2026-08-17 02:02:31
2	E_holdout_sft_a1	6730	2026-08-17 02:16:03
2	A_extra_evolve_a2	4689	2026-08-17 04:08:14
2	C_corpus_a2	5	2026-08-17 05:26:23
2	D_sft_a2	813	2026-08-17 05:26:28
2	E_holdout_sft_a2	7096	2026-08-17 05:40:01
3	A_evolve	12958	2026-08-17 07:38:18
3	B_holdout_harness	6305	2026-08-17 11:14:16
3	C_corpus_a0	4	2026-08-17 12:59:21
3	D_sft_a0	789	2026-08-17 12:59:25
1	A0_evolve_taskset	7	2026-08-19 07:51:16
1	B_holdout_harness	0	2026-08-19 07:51:23
1	E_holdout_sft_a0	0	2026-08-19 07:51:24
2	A0_evolve_taskset	3	2026-08-19 07:51:24
2	B_holdout_harness	0	2026-08-19 07:51:27
2	E_holdout_sft_a0	0	2026-08-19 07:51:27
3	A0_evolve_taskset	3	2026-08-19 07:51:28
3	B_holdout_harness	0	2026-08-19 07:51:31
3	E_holdout_sft_a0	500	2026-08-19 07:51:31
