iter	stage	seconds	started
0	holdout_anchor	2121	2026-08-31 05:35:30
1	A_evolve	9656	2026-08-31 06:10:51
1	B_holdout_harness	4481	2026-08-31 08:51:48
1	C_corpus_a0	3	2026-08-31 10:06:29
1	D_sft_a0	758	2026-08-31 10:06:32
1	E_holdout_sft_a0	4714	2026-08-31 10:19:10
2	A0_rotate_tasks	4	2026-08-31 11:37:44
2	A_evolve	7164	2026-08-31 11:37:48
2	B_holdout_harness	3435	2026-08-31 13:37:12
2	C_corpus_a0	4	2026-08-31 14:34:27
2	D_sft_a0	737	2026-08-31 14:34:31
2	E_holdout_sft_a0	4675	2026-08-31 14:46:48
3	A0_rotate_tasks	5	2026-08-31 16:04:43
3	A_evolve	8529	2026-08-31 16:04:48
