iter	stage	model	harness	passed	total	job
0	holdout_anchor	base	harness0	78	102	tmax-coev-rep22-anchor0
1	B_holdout_harness	base	harness_i1	76	102	tmax-coev-rep22-i1-B-harness
1	E_holdout_sft_a0	sft_i1_a0	harness_used_i1	82	102	tmax-coev-rep22-i1-E-sft-a0
2	B_holdout_harness	best_model	harness_i2	86	102	tmax-coev-rep22-i2-B-harness
2	E_holdout_sft_a0	sft_i2_a0	harness_used_i2	84	102	tmax-coev-rep22-i2-E-sft-a0
3	B_holdout_harness	best_model	harness_i3	82	102	tmax-coev-rep22-i3-B-harness
3	E_holdout_sft_a0	sft_i3_a0	harness_used_i3	85	102	tmax-coev-rep22-i3-E-sft-a0
4	B_holdout_harness	best_model	harness_i4	80	102	tmax-coev-rep22-i4-B-harness
4	E_holdout_sft_a0	sft_i4_a0	harness_used_i4	83	102	tmax-coev-rep22-i4-E-sft-a0
5	B_holdout_harness	best_model	harness_i5	82	102	tmax-coev-rep22-i5-B-harness
