iter	stage	seconds	started
0	holdout_anchor	2558	2026-08-31 19:23:47
1	A_evolve	8557	2026-08-31 20:06:25
1	B_holdout_harness	5221	2026-08-31 22:29:02
1	C_corpus_a0	0	2026-08-31 23:56:03
1	D_sft_a0	621	2026-08-31 23:56:03
1	E_holdout_sft_a0	7278	2026-09-01 00:06:24
2	A0_rotate_tasks	4	2026-09-01 02:07:43
2	A_evolve	13513	2026-09-01 02:07:47
2	B_holdout_harness	2125	2026-09-01 06:49:54
2	B2_sftgen_a0	2279	2026-09-01 07:25:19
2	C_corpus_a0	1	2026-09-01 08:03:18
2	D_sft_a0	852	2026-09-01 08:03:19
2	E_holdout_sft_a0	3234	2026-09-01 08:17:31
3	A0_rotate_tasks	5	2026-09-01 09:11:25
3	A_evolve	12535	2026-09-01 09:11:30
3	B_holdout_harness	3565	2026-09-01 12:40:25
3	B2_sftgen_a0	0	2026-09-01 13:39:51
3	C_corpus_a0	0	2026-09-01 13:39:51
3	D_sft_a0	812	2026-09-01 13:39:52
3	E_holdout_sft_a0	3369	2026-09-01 13:53:24
4	A0_rotate_tasks	4	2026-09-01 16:50:27
4	A_evolve	14116	2026-09-01 20:16:37
4	B_holdout_harness	4557	2026-09-02 00:11:53
4	B2_sftgen_a0	0	2026-09-02 01:27:50
4	C_corpus_a0	2	2026-09-02 01:27:50
4	D_sft_a0	873	2026-09-02 01:27:52
4	E_holdout_sft_a0	4263	2026-09-02 01:42:25
5	A0_rotate_tasks	7	2026-09-02 02:53:28
5	A_evolve	12622	2026-09-02 02:53:35
5	B_holdout_harness	4133	2026-09-02 06:23:57
5	B2_sftgen_a0	0	2026-09-02 07:32:50
5	C_corpus_a0	1	2026-09-02 07:32:50
5	D_sft_a0	871	2026-09-02 07:32:51
