iter	stage	seconds	started
0	holdout_anchor	7283	2026-08-22 08:16:22
1	A0_evolve_taskset	5	2026-08-22 10:17:45
1	A_evolve	15536	2026-08-22 10:17:51
1	B_holdout_harness	6327	2026-08-22 14:36:47
1	C_corpus_a0	1	2026-08-22 16:22:14
1	D_sft_a0	732	2026-08-22 16:22:15
1	E_holdout_sft_a0	7523	2026-08-22 16:34:27
2	A0_evolve_taskset	6	2026-08-22 18:39:51
2	A_evolve	18069	2026-08-22 18:39:57
2	B_holdout_harness	7824	2026-08-22 23:41:06
2	C_corpus_a0	2	2026-08-23 01:51:31
2	D_sft_a0	1059	2026-08-23 01:51:33
2	E_holdout_sft_a0	8072	2026-08-23 02:09:12
2	A_extra_evolve_a1	6177	2026-08-23 04:23:44
2	C_corpus_a1	3	2026-08-23 06:06:41
2	D_sft_a1	1028	2026-08-23 06:06:44
2	E_holdout_sft_a1	6872	2026-08-23 06:23:52
3	A0_evolve_taskset	6	2026-08-23 08:18:28
3	A_evolve	23968	2026-08-23 08:18:34
3	B_holdout_harness	8557	2026-08-23 14:58:02
3	C_corpus_a0	4	2026-08-23 17:20:39
3	D_sft_a0	1245	2026-08-23 17:20:43
3	E_holdout_sft_a0	7092	2026-08-23 17:41:28
3	A_extra_evolve_a1	8321	2026-08-23 19:39:40
3	C_corpus_a1	4	2026-08-23 21:58:21
3	D_sft_a1	1308	2026-08-23 21:58:25
3	E_holdout_sft_a1	7841	2026-08-23 22:20:13
3	A_extra_evolve_a2	8387	2026-08-24 00:30:54
3	C_corpus_a2	5	2026-08-24 02:50:41
3	D_sft_a2	1227	2026-08-24 02:50:46
3	E_holdout_sft_a2	7481	2026-08-24 03:11:13
4	A0_evolve_taskset	6	2026-08-24 05:15:54
4	A_evolve	23670	2026-08-24 05:16:00
4	B_holdout_harness	9352	2026-08-24 11:50:30
4	C_corpus_a0	5	2026-08-24 14:26:23
4	D_sft_a0	1389	2026-08-24 14:26:28
4	E_holdout_sft_a0	6598	2026-08-24 14:49:37
4	A_extra_evolve_a1	7040	2026-08-24 16:39:35
4	C_corpus_a1	7	2026-08-24 18:36:55
4	D_sft_a1	1430	2026-08-24 18:37:02
4	E_holdout_sft_a1	7682	2026-08-24 19:00:52
4	A_extra_evolve_a2	7136	2026-08-24 21:08:54
4	C_corpus_a2	8	2026-08-24 23:07:50
4	D_sft_a2	1418	2026-08-24 23:07:58
4	E_holdout_sft_a2	7701	2026-08-24 23:31:36
