iter	stage	seconds	started
0	holdout_anchor	7313	2026-09-09 07:14:30
1	A_evolve	12201	2026-09-09 09:16:23
1	B_holdout_harness	6926	2026-09-09 12:39:44
1	B2_sftgen_a0	0	2026-09-09 14:35:10
1	C_corpus_a0	1	2026-09-09 14:35:10
1	D_sft_a0	440	2026-09-09 14:35:11
1	E_holdout_sft_a0	5617	2026-09-09 14:42:31
2	A0_rotate_tasks	3	2026-09-09 16:16:09
2	A_evolve	7912	2026-09-09 16:16:12
2	B2_sftgen_a0	0	2026-09-09 18:28:04
2	C_corpus_a0	3	2026-09-09 18:28:04
2	D_sft_a0	496	2026-09-09 18:28:07
2	E_holdout_sft_a0	7192	2026-09-09 18:36:23
3	A0_rotate_tasks	4	2026-09-09 20:36:15
3	A_evolve	8719	2026-09-09 20:36:19
3	B_holdout_harness	3458	2026-09-09 23:01:39
3	B2_sftgen_a0	0	2026-09-09 23:59:17
3	C_corpus_a0	4	2026-09-09 23:59:17
3	D_sft_a0	433	2026-09-09 23:59:21
3	E_holdout_sft_a0	5671	2026-09-10 00:06:34
